Number	Set up date	Block	Line	Mated/Virgin	N nymphs	survival (hours)	Failed to parasitise	Failed to produce offspring	Mating failure	Mummies	Wasps	Unemerged	Males 	Females	Exclude (lost or killed mother)	SA	Alleles
1	21-May	1	64	Mated	88	31.5	0	0	NA	23	13	10	0	12	0	1	184.192
2	21-May	1	Sexual	Virgin	78	72	0	0	NA	23	15	8	3	0	0		
3	21-May	1	Sexual	Mated	60	72	0	0	0	40	29	11	7	22	0		
4	21-May	1	402	Virgin	89	31.5	0	0	NA	13	1	12	0	1	0		
5	21-May	1	402	Mated	97	72	0	0	NA	30	20	10	0	30	0	1	184.192
6	21-May	1	348	Virgin	56	47.25	0	0	NA	14	7	7	1	13	0	1	184.192
7	21-May	1	Sexual	Mated	66	72	0	0	0	43	26	17	3	23	0		
8	21-May	1	64	Virgin	91	72	0	0	NA	48	28	20	0	6	0		
9	21-May	1	Sexual	Mated	93	31.5	0	0	0	38	17	21	2	13	0		
10	21-May	1	Sexual	Mated	36	72	0	0	0	17	17	0	2	15	0		
11	21-May	1	402	Virgin	115	72	0	0	NA	9	3	6	0	3	0	0	184.184
12	21-May	1	64	Mated	81	24.5	0	0	NA	9	4	5	0	1	0	0	184.184
13	21-May	1	Sexual	Virgin	124	24.5	1	1	NA	0	0	0	0	0	0		
14	21-May	1	402	Virgin	102	72	0	0	NA	16	12	4	0	1	0		
15	21-May	1	Sexual	Mated	80	72	1	1	NA	0	0	0	0	0	0		
16	21-May	1	Sexual	Virgin	35	47.25	0	0	NA	17	15	2	5	0	0		
17	21-May	1	Sexual	Virgin	90	72	1	1	NA	0	0	0	0	0	0		
18	21-May	1	554	Mated	51	31.5	0	0	NA	6	4	2	3	5	0	1	184.192
19	21-May	1	554	Virgin	41	47.25	0	0	NA	22	2	20	0	0	0		
20	21-May	1	554	Mated	46	72	0	0	NA	5	1	4	0	0	0		
21	21-May	1	Sexual	Virgin	94	72	0	0	NA	34	19	15	34	0	0		
22	21-May	1	554	Mated	78	72	0	0	NA	4	1	3	0	1	0		
23	21-May	1	402	Virgin	89	24.5	0	0	NA	8	2	6	4	4	0		
24	21-May	1	64	Mated	91	72	0	0	NA	22	7	15	0	22	0	1	184.192
25	21-May	1	Sexual	Virgin	50	47.25	0	0	NA	19	7	12	1	0	0		
26	21-May	1	Sexual	Virgin	83	47.25	0	0	NA	39	32	7	17	2	0		
27	21-May	1	Sexual	Virgin	54	72	0	0	NA	23	16	7	16	0	0		
28	21-May	1	402	Mated	46	31.5	0	1	NA	3	0	3	0	7	0	1	184.192
29	21-May	1	348	Virgin	50	72	0	0	NA	25	21	4	0	5	0		
30	21-May	1	Sexual	Mated	56	72	0	0	0	26	14	12	10	4	0		
31	21-May	1	Sexual	Virgin	99	72	0	0	NA	12	6	6	12	0	0		
32	21-May	1	Sexual	Mated	69	72	0	0	0	30	6	24	1	5	0		
33	21-May	1	64	Virgin	65	72	0	0	NA	31	24	7	0	24	0		
34	21-May	1	348	Mated	72	72	0	0	NA	16	5	11	0	7	0	1	184.192
35	21-May	1	84	Virgin	43	72	0	0	NA	5	3	2	0	2	0		
36	21-May	1	658	Mated	41	24.5	1	1	NA	0	0	0	0	0	0		
37	21-May	1	554	Virgin	44	47.25	1	1	NA	0	0	0	0	0	0		
38	21-May	1	348	Virgin	73	72	0	0	NA	8	4	4	0	4	0	0	184.184
39	21-May	1	64	Virgin	65	72	0	0	NA	21	3	18	0	0	0		
