Date	Line	 Mated 	 Virgin	Refuse	No.attempt
21/05/2023	64	4	4	1	1
22/05/2023	64	2	3	5	3
23/05/2023	64	4	4	5	0
22/05/2023	66	2	2	0	0
23/05/2023	66	3	3	0	0
21/05/2023	84	0	0	1	
22/05/2023	84	3	2	0	0
23/05/2023	84	2	2	1	0
21/05/2023	348	2	3	3	0
22/05/2023	348	3	4	1	1
23/05/2023	348	3	3	1	0
21/05/2023	402	3	4	4	2
22/05/2023	402	5	4	2	2
23/05/2023	402	2	2	0	0
21/05/2023	554	3	3	0	0
22/05/2023	554	2	2	0	0
23/05/2023	554	0	0	0	0
21/05/2023	658	1	1	0	0
22/05/2023	658	2	1	0	0
23/05/2023	658	2	1	0	0
21/05/2023	Sexual	8	8	0	0
22/05/2023	Sexual	8	6	0	1
23/05/2023	Sexual	6	4	0	0
