Number G1	Number G2	Set up date	Block 1	Block 2	Line	Mated/Virgin	N nymphs	Survival (hours)	Failed to parasitise	Failed to produce offspring		Mummies	Wasps	Unemerged	Males	Females	Exclude (no G2)	Exclude (lost or killed mother)	SA	Alleles
1	1	03/06/2023	1	1	64	Mated	44	72	1	1	NA	0	 	#VALUE!	0	0	0	1	1	184.192
2	Y	03/06/2023	1	1	Sexual	Virgin								0			1	0		
3	3M	03/06/2023	1	1	Sexual	Mated	43	72	0	0	0	14	13	1	9	2	0	0		
3	3V	03/06/2023	1	1	Sexual	Virgin	41	72	0	0	NA	40	6	34	6	0	0	0		
4	4	03/06/2023	1	1	402	Virgin	40	72	0	0	NA	9	2	7			0	0		
5	5	03/06/2023	1	1	402	Mated	46	72	0	0	NA	28	6	22	0	6	0	0	1	184.192
6	6	03/06/2023	1	1	348	Virgin	50	72	0	0	NA	35	20	15	0	20	0	0	1	184.192
7	7V	03/06/2023	1	1	Sexual	Virgin	36	72	0	0	NA	20	10	10	7	0	0	0		
7	7M	03/06/2023	1	1	Sexual	Mated	36	72	0	0	1	50	16	34	16	0	0	0		
8	8	03/06/2023	1	1	64	Virgin	44	72	0	0	NA	52	3	49	0	3	0	0		
9	9M	03/06/2023	1	1	Sexual	Mated	50	72	0	0	0	44	38	6	9	35	0	0		
9	9V	03/06/2023	1	1	Sexual	Virgin	50	72	0	0	NA	49	25	24	25	0	0	0		
10	10V 	03/06/2023	1	1	Sexual	Virgin	50	72	0	0	NA	38	28	10	28	0	0	0		
10	10M	03/06/2023	1	1	Sexual	Mated	52	49	0	0	0	50	13	37	12	1	0	0		
11	11	05/06/2023	1	3	402	Virgin	44	26	0	1	NA	1	0	1	0	0	0	0	0	184.184
12	12	03/06/2023	1	1	64	Mated	31	72	0	0	NA	26	1	25			0	0	0	184.184
13			1		Sexual	Virgin		72			NA			0			1	0		
14	14	03/06/2023	1	1	402	Virgin	50	72	0	0	NA	32	7	25	0	7	0	0		
15			1		Sexual	Mated								0			1	0		
16			1		Sexual	Virgin		72			NA			0			1	0		
17			1		Sexual	Virgin		72			NA			0			1	0		
18	18	03/06/2023	1	1	554	Mated	60	72	0	0	NA	2	1	1			0	0	1	184.192
19	19	03/06/2023	1	1	554	Virgin	50	72	0	0	NA	23	6	17	1	5	0	1		
20			1		554	Mated								0			1	0		
21	Y	03/06/2023	1	1	Sexual	Virgin		72			NA			0			1	0		
22			1		554	Mated								0			1	0		
23			1		402	Virgin								0			1	0		
24	24	03/06/2023	1	1	64	Mated	28	26.33333333	1	1	NA	0	0	0	0	0	0	0	1	184.192
25	Y		1		Sexual	Virgin		72			NA			0			1	0		
26			1		Sexual	Virgin		72			NA			0			1	0		
27		05/06/2023	1	3	Sexual	Virgin		72			NA			0			1	0		
